intitule;code_client;mappe_sur_code_client_dgafp
GRH;GRH;NAT_CONTRACTUELS
RENOIRH;RENOIRH;NAT_CONTRACTUELS
CDD;TC01;NAT_CONTRACTUELS
CDI;TC02;NAT_TITULAIRE_CONTRACTUEL
CCN CDI NOUVELLE EMBAUCHE;CCNCDINE;NAT_TITULAIRE_CONTRACTUEL
CONTRAT APPRENTISSAGE;APPREN;NAT_CONTRACTUELS
CCN CDI;CDI;NAT_TITULAIRE_CONTRACTUEL
CUI CDD;CUICDD;NAT_CONTRACTUELS
APPRENTI CDD OB;APP7;NAT_CONTRACTUELS
CCN ACCOMPAGNEMENT CDI;ACCOMPCDI;NAT_TITULAIRE_CONTRACTUEL
CONTRAT ACCOMPAGNEMENT CAE;ACCOMP;NAT_CONTRACTUELS
PROFESSIONNALISATION CDD;PROCDD;NAT_CONTRACTUELS
CCN CDD MESURES EMPLOI;CES;NAT_CONTRACTUELS
SURCHARGE CDD;SURCHA;NAT_CONTRACTUELS
STAGE;STAGE;NAT_CONTRACTUELS
TITULAIRE FONCTION PUBLIQUE;TITULAIRE FONCTION PUBLIQUE;NAT_TITULAIRE_CONTRACTUEL
TITULAIRE UCANSS;TITULAIRE UCANSS;NAT_CONTRACTUELS
TITULAIRE FONCTION PUBLIQUE / UCANSS;TITULAIRE FONCTION PUBLIQUE / UCANSS;NAT_TITULAIRE_CONTRACTUEL
VACATION AUTRES CDD;AUTCDD;NAT_CONTRACTUELS
STAGIAIRE > FRANCHISE;STA;NAT_CONTRACTUELS
APPRENTI CDD;APPCDD;NAT_CONTRACTUELS
CONTRACTUEL CDD SECTEUR PUBLIC;CONTRCDD;NAT_CONTRACTUELS
REMP AGT ABS CDD;REMPLA;NAT_CONTRACTUELS
Contrat d'apprentissage;TC21;
